bid_id,bid_price,bid_posted,ads_id,bid_buyer_id
1,80631417,2023-07-02 00:52:17.374861,19,178
2,86279121,2024-04-20 11:14:24.743547,118,111
3,97855787,2024-01-15 16:38:23.887724,40,17
4,82219906,2023-09-08 13:02:28.962263,96,20
5,84318652,2023-12-28 17:14:30.619697,32,144
6,93749156,2023-04-19 21:32:49.824967,103,57
7,81949677,2023-05-06 07:38:59.285329,34,49
8,83287512,2023-04-13 22:53:38.213546,79,34
9,98844348,2024-05-12 20:43:06.112656,40,17
10,90552660,2023-07-05 11:52:15.076738,79,107
11,84941912,2023-03-04 05:42:41.530314,79,158
12,92929960,2023-08-18 21:26:56.026011,112,19
13,82197565,2023-07-06 22:56:42.858153,96,66
14,86269057,2023-03-19 18:47:16.030454,27,73
15,93570472,2023-09-14 21:10:13.914555,109,181
16,91153812,2023-12-11 01:16:05.132126,97,129
17,94804332,2023-03-11 07:13:38.139626,16,84
18,93878303,2023-01-27 13:54:20.598650,108,27
19,87682011,2023-08-22 17:25:53.029037,85,62
20,85597557,2023-03-18 09:39:10.932484,62,120
21,97858572,2023-02-07 22:05:04.867187,60,195
22,88484295,2024-05-06 02:14:42.317010,54,93
23,85925377,2023-04-20 07:45:59.481158,86,157
24,96411776,2024-03-22 11:51:18.013947,18,21
25,80151215,2024-03-22 12:43:05.609775,59,103
26,81344215,2023-11-01 03:14:57.330885,54,197
27,93123413,2023-11-05 01:06:24.840814,74,88
28,81967721,2023-03-27 09:31:58.613809,120,78
29,95450285,2023-01-31 02:19:01.641664,120,143
30,94307932,2023-03-21 16:02:12.874315,33,192
31,86208430,2023-05-28 09:13:56.864306,91,60
32,95467518,2023-05-16 07:01:39.042747,49,18
33,82888377,2023-03-08 13:06:30.479571,98,138
34,83912677,2023-10-15 04:39:04.227991,63,168
35,81473274,2024-01-05 13:32:31.734403,51,18
36,86169642,2023-12-23 15:01:02.501126,45,160
37,97141206,2024-02-18 09:21:08.179563,41,10
38,91638526,2023-12-13 03:12:07.105055,68,39
39,82499503,2023-03-09 22:24:46.710202,97,64
40,82664268,2024-04-12 21:09:21.110588,96,159
41,80675230,2024-01-17 06:14:51.146875,8,159
42,93847233,2023-12-15 05:21:27.577373,41,119
43,88379336,2023-10-15 05:43:04.572527,110,152
44,97855797,2023-02-12 09:50:33.365461,80,63
45,91766735,2023-09-22 12:03:14.528223,12,28
46,93022746,2023-08-03 04:12:09.651284,114,6
47,93517106,2023-04-24 23:02:16.642483,78,155
48,91469250,2023-02-08 02:54:23.796120,115,106
49,92020431,2023-11-07 19:20:59.938020,125,13
50,83803531,2023-12-15 16:31:24.125714,117,4
51,84457185,2023-08-20 14:08:59.386167,30,86
52,86557716,2023-06-09 13:58:26.679986,104,103
53,97655279,2023-12-07 03:27:22.497854,45,35
54,97588864,2023-01-29 05:16:27.615873,27,122
55,84337500,2023-10-21 10:44:21.519072,7,163
56,88097266,2024-04-14 06:44:27.742555,51,89
57,82649546,2023-10-25 14:00:17.740361,20,181
58,97785205,2024-02-20 16:34:39.777620,19,112
59,97447827,2023-08-17 13:40:56.578306,120,96
60,87919056,2023-10-11 19:13:07.963189,126,55
61,88564795,2023-12-26 03:39:02.412992,29,144
62,82784557,2023-03-18 15:32:55.597496,27,51
63,96365714,2023-05-24 16:24:25.396863,61,178
64,92232518,2023-02-18 17:02:12.569432,91,125
65,89235665,2023-06-11 22:29:25.865418,13,168
66,91928311,2023-07-03 14:56:15.635288,109,115
67,91129462,2024-03-24 05:21:48.322781,46,67
68,81049182,2023-08-24 11:21:18.136468,101,32
69,94336404,2024-02-12 23:38:58.524359,87,33
70,83606794,2023-08-01 17:46:54.701482,18,149
71,89167485,2023-03-14 18:00:21.622535,34,63
72,87980421,2024-03-03 09:08:34.491954,84,180
73,87857572,2024-04-13 10:55:42.312200,51,174
74,81383047,2023-10-14 09:01:07.483772,110,49
75,82195774,2023-11-28 15:09:34.573587,77,101
76,93111664,2023-06-30 12:44:25.747501,18,13
77,88918233,2023-02-08 11:04:09.351123,122,194
78,95185934,2023-11-28 11:04:36.714353,87,13
79,91144836,2023-02-24 11:45:02.545939,85,177
80,80312603,2024-01-07 17:52:16.043091,1,20
